price_open,price_high,price_low,price_close
275.6,280.94,262.08,266.39
266.34,292,263.02003,267.42
267.1,268.15,215.0901,227
227.01,230.9919,110.2,171.41
172,236.46589,150,210.98
210.69,225.5,189,208.03
208.02,212.84,184,199.69
199.69,222,195.02,211.85
211.8,225.51,206,216.34
216.01,219.84384,201.98,210.65
211.94,228.9,205,227.16
227.75,257.73,216.59,234.08
234.08,240,215,233.64
233.42,251.36381,215,249.19
249.33,257.06,241.28478,255.31
254.67,322.72,241.43,274.8
274.76,278.51,205.00002,263.98
263.97,279.99998,225.01593,236.07
236.07,245,220,235.03
235,244.98,220.00103,228.98
228.06,239.98083,215.75,216.9
218.67,239.98261,208.48,226.93
226.93,241.98,220.89,238.47
238.38,246.93235,223.79,228.71
228.44,231,220.02,227
227.11,229,210.43,216.75
216.46,226.64,210.59,223.2
223.2,231.57664,218.44062,229
229.29,232.89,217.28,223.99
223.92,228.95643,215,221.1
220.91,222,215,220.87
220.42,223.61,205,219.55
219.57,224.61,218,223
223.21,242.36,207,237
236.93,259.98,228,256.99
256.81,267.92,227.75,235.54
235.54,250.65756,227.6674,234.7
234.21,249.98294,230.29618,244.82
244.98,247,230.30013,237.49
237.51,245.01,235.58,241
240.61,249.32,239.41,245.34
245.54,248.43,240.12031,245.99
245.72,247.48,232.48,236.5
236.83,241,232,239.49
239.63,241.91,235.51,239.87
239.87,241,235.1,238.19
238.19,239.63507,234.01,237.11
237.21,259.41692,236.16,254.42
254.42,256.97,244.00001,255.61
255.77,262,240.00576,260.24
260.29,279.99798,250.06853,276.71
276.79,289.5,264.68794,283.25
281.03,287,264.94,273.37
270.72,281.09,262.2,276.56
276.86,280,260.00005,273.23
273.23,279.48,269.89856,276.71
276.86,279.99575,270.07622,275.5
275.47,297.50744,270.12774,290.19
290.18,299.999,283.96,291
290,299.93926,285.83,296.54
296.99,298.9,289,296.05
295.87,296.43,272,283.25
284.33,289,272.63893,283.94
282.36,289.24,281.42,287.99
287.99,294.99,285.78,292.37
292.36,294.96033,281.9,282.8
282.8,287,249.02,258.54
256.59,280.86996,249,263.03
263.21,272.48632,256.03388,263.34
261.92,263.62,256.25,261.82
260,272,258.0598,269.44
268.28,273.99,259.5,267.52
265.98,268.51,241.84,246.15
245,250.99964,234.51,246.88
247.06,268.99998,244.91,249.87
249.23,252,242.87629,247.94
247.93,255.69955,247.25,253.52
252.91,254,239.96,243.69
243.6,268.99959,236.52,247.95
247.95,259.99004,238.55,244.24
245.5,249.24224,239.32,246.69
246.68,256.96,240,254.39
253.22,257.43,249.37241,254.19
254.19,256.6,249.52004,254.36
254.6,262,251.65,261.47
261.49,263,253.01101,256.85
256.84,258.7,246.51001,254.24
253.71,258.23933,243.06,246.58
244.58,249.44738,238.47,244.72
244.46,245.85,231,236.77
236.78,242.4924,230.75821,237.91
236.09,239.99999,233.42,237.55
237.57,239.99999,219.64,225.52
222.97,231.84673,210,215.8
221.05,224.52,214.05,224.35
222.83,234.70359,222.44,229.45
229.45,230.52451,220,223.62
222.6,227.49,220.32,224.02
223.35,228.99999,221.91,222.54
222.54,227.99985,221.43,224.3875
224.3,236,223.91,235.89
235.71,238.89186,229.1,233.98
234,236.54,231,235.99
235.95,237.58149,228,231.52
231.49,233.67,225.7,226.12
226.12,227.91,214.98,221.26
221.28,238.55826,217.33855,227.58
227.17,233.25156,220.46,225.16
225.18,232.00202,220.2,225.73
225.78,240,224.6,236.2
236.47,239.23,230.51,233.14
233.15,239.0898,229.87,235.94
233.83,242.97,232.31,240.83
239.73,243.99,236.07,239.75
238.22,240,229.66,235.12
236.76,239.34991,227.001,229.99
230,242.44468,227,237.99
236.92,247.06,234.801,243.2
243.22,247.6,234.131,242.59
242.59,244.99,236.13,241.57
241.59,245.49,237.99,241.3
241.3,243.4,237.54,242.03
242.04,244.14,235.06,235.97
235.97,240,232.22,237.44
237.39,240.05,235.12,237.82
237.91,239.38678,234,236.73
235.43,238.45,234.15,235.97
237.1,237.89,231.44,234.04
234.04,234.92,230.86,231.4
231.4,235.05813,231,234.54
234.55,236.74,233.75,235
235.77,244,232.92,238.99
240.41,240.83735,237.39019,239.36
239.38,242,237.53117,240.82
240.68,241.4,233.1,237.43
237.39,238.34,234,235.71
235.71,238.75,234,237.35
237.35,238.48,234.03003,237.26
237.25,237.68,234,236.89
236.9,236.99,230.55425,233.55
233.61,235.85876,227.58963,230.19
230.18,232.40159,220.65,223.56
223.5,229.49815,221.34,225.84
225.17,229.47843,222.57,225.86
225.85,228.792,222,224.57
224.57,228.2972,219.03,224.97
225.03,225.65381,223.07,225.48
225.48,226.09,221.86,223.89
223.88,230.16,222.31,229.09
229.15,232.06,226.67,229.24
229.31,230.45,226.57075,227.88
227.8,231.58709,227.25,229.03
229.14,233.15352,228.29,229.4
229.2,233.49,226.14462,233.47
231.64,235,230.94,232.09
232.08,238.5,231.34251,235.92
236.92,253.26,233.81721,250.09
251.88,259.46,243.2,247.76
247.76,253.29,240,249.27
249.36,251.05,242.14,243.7
243.75,246.99,239.93,246.13
244.65,246.98,238.05336,244.66
244.66,248.5,242.64,246
245.99,248.06,242.14,244.52
244.54,244.92,238.2,240.04
240.14,243.99919,239.18,241.98
242.08,243.99982,239.91,243
242.99,252.22,242.36,251.21
251.46,260,247.04,249.11
249.11,268.49818,248.3,256.04
257.53,273,255,262.5
263.83,265.45,253.81,259.02
258.96,262,253,254.85
254.86,272.99996,252.4,256.92
256.06,262.99948,254.05,260.64
260.64,275.25,257.11755,271.74
271.39,278.54,267.13,268.51
268.53,272.16381,264.01,265.51
266.18,276.32316,263.01,270.97
271.5,275.66538,265.92,268.92
269.77,297,268.63,285.23
286.71,299,283.05827,294.23
294.29,317.99,291.65,312.16
312.19,312.91,269,293.08
292.93,297.78,286.02,287.51
287.49,294.11,284.29,285.7
285.67,292.78,273.40259,279.38
279.38,281.38,272.31,280.58
280.14,283,274.92386,277.71
276.74,279.57307,274.31656,275.61
275.6,280.40143,273.34,278.96
278.95,281.40693,276.28,277.32
277.33,279.38271,275,277.89
277.5,279.75,275.79,277.39
277.23,291.52,275.9,289.12
289.12,292,286.5,289.7
289.68,294.49,287.41,293.19
293.88,297.44,286.43,294.21
294.22,298,287,295.76
295.74,296.58,280.00001,289.85
289.85,291.56,280.00001,288.49
288.49,293.47977,280.00001,285.19
285.2,292,276.66,281.53
281.53,289.88983,276.57,282.62
282.62,285.86,279.52,280.95
280.95,287.68162,280.11,285
285.6,287.77,280.63,281.13
282.44,286.95751,276.6,279.65
279.37,290,274.15182,279.63
280.06,283.77999,259.20268,262.02
262.02,269.76927,258,267.63
267.6,273.88,261.6,264.33
264.11,271.99,260,271.15
271.15,272.4,265.48598,267.73
267.53,268,261.6437,264.67
264.48,270,262,266.17
266.21,269.21723,260.45,262.46
261.46,270,254.01,259.2
259.2,263.12,254.63,257.31
257.56,259.93483,188.10761,221.99
221.99,245,204.39327,230.084
227.46,238.70954,226.4,235.54
235.15,238.70966,231.15,232.85
232.85,235.53,222.68,231
231,234.03,225.85,229.21
229.23,229.24,207.73,209.72
211.16,235.98998,198.02,222.38
222.38,243.3788,219.77,226.81
225.8,233,223.17,225.09
225.62,237.9801,220.29,231.55
231.55,234.97411,226.67,230.61
230.61,233.47,225.04,229
229.4,233.51,224.39,230.75
230.25,233.5,226.17,228.22
227.97,232.99117,226,229.92
229.95,231.13283,226.17,227.25
227.24,232.49,226.33,231.39
230.72,237.24,229.23,236.01
236.17,244.82,235.02,240.28
241.26,242.98,238.44,241.31
241.31,247.82,239.98,244.14
244.04,244.9708,237.01,238.75
238.35,241.65,234.78,238.52
238.55,242.11885,237.5,240.9
240.9,241.6,233.02,236.5
236.5,236.96,228,230.82
230.83,233.99,223.99,229.71
229.84,232.43,226.5,230.03
230.67,232.19999,223,229.73
228.34,236,227,233.34
233.31,235.49999,230.83,233.78
233.78,234.31,229.89,230
232.88,234,229,232.24
232.26,233.64,225,227.31
227.31,233.85819,223.1,231.28
230.08,233,228,230.26
230.26,235.99,228.89,235.27
233.88,237.62,232.35515,235.89
235.14,236.2,233,233.81
233.81,235.03,230.62,233.58
233.53,240.52,231.69,239.99
239.96,241.05,235.0046,236.89
236.78,238.75,234.67,236.2
235.87,239.86,234.58813,237.15
238.34,239.85654,235,237.77
238.31,240.62,236.3,239.92
239.06,240.28,237.6,238.6
238.6,240.98,236.1,240.84
240.93,248.38999,239.52,246.64
246.7,247.96,234.55,244
244,245.38,233,242.94
242.94,244.95,241.1,244.35
244.44,246.43,243,245.71
246.06,250,244.53,249.02
248.05,249.14,244.00006,246.39
246.43,251.5,242.82,250.99
250.98,255.93,241,253.27
253.25,256.77,250.3,254.49
254.98,268.50765,253.00001,263.43
263.09,274.81,260.8,270.07
270.04,273.5,251,261.05
265,268.23,258.86,263.66
264.28,272.95,262.67,271.14
270.3,272.85,264,268.77
268.77,280.04,263.73009,275.84
275.76,281.17,270,278.6
278.76,284.49,277.8,284.29
283.03,296,282.2,284.97
284.97,287.68,279.25,287.1
287.1,300,285.239,295.61
295.8,308.93,290.00002,304.09
305.67,320.99,296.4,316.08
312.026,336.97,311.7704,329.11
329.11,334.67,302.99,310.18
314.84,332,303.01,329.46
325.78,371.82,314,361.74
361.26,422.3,307.23,404.06
404.55,502,368.11,408
407.99,450,341,387.21
387.21,396.67,346.34009,374.47
374.41,392.82,368,383.53
384.8,390.47,352,373.83
372.86,386.96,350,377.9
378.02,382.23,322,336.8
335.02,341.75,293.32,309.91
309.95,344.99,301.56,336.49
337,343,325,336.99
336.98,356.1,325.45,333
334.67,336.46,314.6,319.28
319.29,334.1,315,332.89
332.85,350.44,329,336.49
336,338,326.00001,335.65
335.68,336.48,323.07088,326.41
326.53,327.73,310,322.04
322.39,328.94,316.33,327
326.99,327,319.03328,324.2
323.72,326.09,319,323
323.01,325,316.01323,319.7
320.96,330.84,316,328.98
328.9,370,328.53,352.57
352.56,364.8,347.84,358.19
358.2,359.63,350.27786,357.24
357.24,373.76998,353.03001,371.48
371.2,383,367.11,376.86
376.7,379,354.56,362.68
362.68,363.06,347.55,360
359.11,370.53,356.21,361.77
361.48,365.0826,355.43,363.98
363.98,390.58431,363,387.99
388.03,404.21397,375.22,387.55
388.54,399.91,381.01,395.58
395.57,418.94,386.69,417.89
416.67,425,400,416.98
418.39,420,408,415.68
415.68,454.48,415.13,452.95
452.95,469.34,403,436.87
436.08,443.83,418.36999,433.07
433.13,450,426.21,444.01
444.03,464.99,430.01,464.27
464.53,465,436.89,455.87
453.96,459.15315,445.00001,456.17
455.5,467.69074,452.27193,463.17
463.14,465.9,451.58,461.8
461.89,462,430,442.22
442.36,450,424.66,436.81
438.14,444.25,432.58,433.92
433.94,445.99,428.29,442.43
442.43,460,442.42,455.74
455.74,458.99,448,455.84
455.82,458.29,407.25,419.41
417.11,429.85,409.40689,421.76
421.78,429.9,417.01,421.46
421.94,433.9,418.55,431.82
433.89,434.99999,420,427.95
427.9,434,416.60843,430.34
430.35,437.15,427.2,433.82
435.67,437.56,430.32476,435.4
433.2,435.75,422.98,431.91
431.54,435.86,426.56,434.17
433.31,435.64,429,433.34
433.32,433.46,426.54,430.87
430.66,460.15,427.78067,459.07
